"Username","Password","Nome","Cognome","Categoria","Genere"
"Ciccio","100","Alessio","Matteini","Psicologo","M"
"Giacomino","1998","Giacomo","Polidori","Paziente","M"
"Arya","1992","Arya","Padovani","Psicologo","F"
"BelPaolino","Q8TT-23!","Paolino","Perfettino","Psicologo","M"
"Gargamella","IPuffi","Fabio","Barchesi","Paziente","M"
"Ginny_98","16789","Ginevra","Cristanti","Paziente","F"
"IlPrincipe","JDK90?","Carlo","Terzo","Psicologo","M"
"IlSole","Teletubbies","Valerio","De Angelis","Paziente","M"
"Jo_92","pp079!@","Giorgia","Palermi","Paziente","F"
"Luigi@67","<pallino>","Luigi","Serafini","Paziente","M"
"Mars","-","Mario","Bros","Psicologo","M"
"Ros98","123","Claudia","Rossi","Paziente","F"
"Sph97","19!?37","Sophie","Cristalli","Psicologo","F"
"_Venere@_","ven4578","Venere","Corti","Paziente","F"
"Susy","Aa0-!","Susan","Giostri","Paziente","F"
"SanGiovanni00","Sangy","Giovanni","Picco","Paziente","M"
